model,class_nb,lr,layer_nb,hidden_size,epoch,val_acc,val IoU,val P,val R,val_F1,train_acc,train_F1,saved_model
MLP2,45,0.0001,2,200,4,0.951,0.67,0.765,0.847,0.77,0.948,0.844,MLP2_0
MLP2,45,0.0001,2,200,5,0.953,0.677,0.746,0.857,0.773,0.95,0.844,MLP2_1
